procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 179436  17648 327024    0    0     1     3    6    7  0  0 100  0
 0  0      0 179436  17648 327024    0    0     0     0   95   87  1  0 99  0
 0  0      0 179444  17648 327028    0    0     0     0    9   11  0  0 100  0
 0  0      0 179444  17648 327028    0    0     0     0   10   13  0  0 100  0
 0  0      0 179444  17648 327028    0    0     0     0   25   13  0  0 100  0
 0  0      0 179444  17648 327028    0    0     0     0   10   11  0  0 100  0
 0  0      0 179444  17656 327028    0    0     0    28   11   18  0  0 100  0
 0  0      0 179444  17656 327028    0    0     0     0    9   11  0  0 100  0
 0  0      0 179444  17656 327028    0    0     0     0    9   12  0  0 100  0
 0  0      0 179444  17656 327028    0    0     0     0    9   12  0  0 100  0
 0  0      0 179444  17656 327028    0    0     0     0    8   13  0  0 100  0
 0  0      0 179444  17656 327028    0    0     0     0   12   20  0  1 99  0
 0  0      0 179444  17664 327028    0    0     0    12   12   21  0  0 99  1
 0  0      0 179444  17664 327028    0    0     0     0    9   11  0  0 100  0
 0  0      0 179444  17664 327028    0    0     0     0    9   15  0  0 100  0
 0  0      0 179444  17664 327028    0    0     0     0    9   13  0  0 100  0
 0  0      0 179444  17664 327028    0    0     0     0   10   13  0  0 100  0
 0  0      0 179444  17664 327028    0    0     0     0   11   11  0  0 100  0
 0  0      0 179444  17672 327028    0    0     0    12   11   22  0  0 99  1
 0  0      0 179444  17672 327028    0    0     0    36   18   15  0  0 100  0
 0  0      0 179444  17672 327028    0    0     0     0   10   13  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 179444  17672 327028    0    0     0     0    8   21  0  0 100  0
 0  0      0 179444  17672 327028    0    0     0     0   11   13  0  0 100  0
 1  0      0 179444  17672 327028    0    0     0     0    9   13  0  0 100  0
 0  0      0 179444  17680 327028    0    0     0    12   14   24  0  0 99  1
 0  0      0 179444  17680 327028    0    0     0     0    8   11  0  0 100  0
 0  0      0 179444  17680 327028    0    0     0     0    8   13  0  0 100  0
 0  0      0 179444  17680 327028    0    0     0     0   11   17  0  0 100  0
 0  0      0 179444  17680 327028    0    0     0     0    9   11  0  0 100  0
 0  0      0 179444  17680 327028    0    0     0     0    9   15  0  0 100  0
 0  0      0 179444  17688 327028    0    0     0    12   13   20  0  1 98  1
 0  0      0 179444  17688 327028    0    0     0     0    9   13  0  0 100  0
 0  0      0 179444  17688 327028    0    0     0     0   10   13  0  0 100  0
 0  0      0 179444  17688 327028    0    0     0     0    8   11  0  0 100  0
 0  0      0 179444  17688 327028    0    0     0     4   11   15  0  0 100  0
 0  0      0 179444  17688 327028    0    0     0     0   10   14  0  0 100  0
 0  0      0 179444  17696 327028    0    0     0    24   13   23  0  0 100  0
 0  0      0 179444  17696 327028    0    0     0     0    9   19  0  0 100  0
 0  0      0 179444  17696 327028    0    0     0     0    8   13  0  0 100  0
 0  0      0 179444  17696 327028    0    0     0     0   11   15  0  0 100  0
 0  0      0 179444  17696 327028    0    0     0     0   10   13  0  0 100  0
 0  0      0 179444  17696 327028    0    0     0     0    8   11  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 179444  17704 327028    0    0     0    16   16   35  0  0 99  1
 0  0      0 179444  17704 327028    0    0     0     0   11   13  0  0 100  0
 0  0      0 179444  17704 327028    0    0     0     0   12   15  0  1 99  0
 0  0      0 179444  17704 327028    0    0     0     0    8   13  0  0 100  0
 0  0      0 179444  17704 327028    0    0     0     0    8   11  0  0 100  0
 0  0      0 179444  17704 327032    0    0     0     0    9   15  0  0 100  0
 0  0      0 179444  17712 327032    0    0     0    16   15   22  0  0 99  1
 0  0      0 179444  17712 327032    0    0     0     0   10   15  0  0 100  0
 0  0      0 179444  17712 327032    0    0     0     0    9   13  0  0 100  0
 0  0      0 179444  17712 327032    0    0     0     0    9   13  0  0 100  0
 0  0      0 179444  17712 327032    0    0     0     0   10   13  0  0 100  0
 0  0      0 179444  17712 327032    0    0     0     0    8   11  0  0 100  0
 0  0      0 179444  17720 327032    0    0     0    24   15   23  0  0 99  1
 0  0      0 179444  17720 327032    0    0     0     0    9   13  0  0 100  0
 0  0      0 179444  17720 327032    0    0     0     0    9   13  0  0 100  0
 0  0      0 179444  17720 327032    0    0     0     0    9   19  0  0 100  0
 0  0      0 179444  17720 327032    0    0     0     0   11   13  0  0 100  0
 0  0      0 179444  17720 327032    0    0     0     0    9   17  0  0 100  0
