procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 160272  45384 316768    0    0     1     3   14   17  0  0 100  0
 0  0      0 160256  45384 316772    0    0     0     0   11   19  0  0 100  0
 0  0      0 160256  45384 316772    0    0     0     0    9   14  0  0 100  0
 1  0      0 160256  45384 316772    0    0     0     0 3627 2917 15  9 76  0
 1  0      0 160240  45384 316772    0    0     0     0 3936 2947 15 11 73  0
 0  0      0 160116  45384 316772    0    0     0     0 4071 3146 15 11 75  0
 1  0      0 159992  45392 316772    0    0     0    28 4124 3327 12 12 73  1
 0  0      0 159992  45392 316772    0    0     0     0 4118 3285 16 10 74  0
 0  0      0 160000  45392 316772    0    0     0     0 4011 3026 14 12 72  0
 1  0      0 159876  45392 316772    0    0     0     0 4071 3145 19  9 72  0
 0  0      0 159868  45392 316772    0    0     0     0  790  636  2  2 95  0
 0  0      0 159868  45392 316772    0    0     0     0   11   15  0  0 100  0
 0  0      0 159868  45400 316772    0    0     0    12   10   17  0  0 99  1
 0  0      0 159868  45400 316772    0    0     0     0    8   10  0  0 100  0
 0  0      0 159868  45400 316772    0    0     0     0   13   19  0  0 100  0
 0  0      0 159868  45400 316772    0    0     0     0   11   10  0  1 99  0
 0  0      0 159868  45400 316772    0    0     0     0   10   16  0  0 100  0
