procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0      0 178972  17784 327032    0    0     1     3    9   11  0  0 100  0
 0  0      0 178972  17784 327028    0    0     0     0  440  578  3  0 97  0
 0  0      0 178972  17784 327028    0    0     0     0  431  542  2  1 97  0
 0  0      0 178972  17784 327028    0    0     0     0  441  566  4  0 96  0
 0  0      0 178972  17784 327028    0    0     0     0  422  547  3  1 96  0
 0  0      0 178972  17784 327028    0    0     0     0  440  546  2  2 96  0
 1  0      0 178964  17792 327028    0    0     0    24  417  543  2  1 96  1
 0  0      0 178964  17792 327028    0    0     0     0  429  536  3  1 96  0
 0  0      0 178964  17792 327028    0    0     0     0  422  569  3  1 96  0
 0  0      0 178964  17792 327028    0    0     0     0  434  541  3  1 96  0
 0  0      0 178964  17792 327028    0    0     0     0  448  551  1  1 98  0
 0  0      0 178964  17792 327028    0    0     0     0  447  575  2  1 97  0
 0  0      0 178964  17800 327028    0    0     0    12  430  561  1  1 98  0
 0  0      0 178964  17800 327028    0    0     0     0  440  554  2  1 97  0
 0  0      0 178964  17800 327028    0    0     0     0  441  548  4  2 94  0
 0  0      0 178964  17800 327028    0    0     0     0  437  561  3  0 97  0
 0  0      0 178964  17800 327028    0    0     0     0  441  544  2  3 94  0
 0  0      0 178964  17800 327028    0    0     0     0  441  576  1  1 98  0
 0  0      0 178964  17808 327028    0    0     0    12  447  553  2  2 95  1
 0  0      0 178964  17808 327028    0    0     0     0  440  569  1  1 98  0
 0  0      0 178964  17808 327028    0    0     0     0  445  558  2  1 97  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 178964  17808 327028    0    0     0     0  443  575  1  1 98  0
 0  0      0 178964  17808 327028    0    0     0     0  446  552  2  1 97  0
 0  0      0 178964  17808 327028    0    0     0     0  450  585  1  0 99  0
 1  0      0 178964  17816 327028    0    0     0    12  444  566  1  0 99  0
 0  0      0 178964  17816 327028    0    0     0     0  450  572  1  1 98  0
 0  0      0 178964  17816 327028    0    0     0     0  442  540  3  1 96  0
 0  0      0 178964  17816 327028    0    0     0     0  455  580  0  1 98  0
 0  0      0 178964  17816 327028    0    0     0     0  451  558  3  1 96  0
 0  0      0 178964  17816 327028    0    0     0     0  467  587  2  1 97  0
 0  0      0 178964  17824 327028    0    0     0    12  438  556  2  1 96  1
 0  0      0 178964  17824 327028    0    0     0     4  455  591  0  0 100  0
 0  0      0 178964  17824 327028    0    0     0     0  443  566  1  1 98  0
 0  0      0 178964  17824 327028    0    0     0     0  447  569  2  1 97  0
 0  0      0 178964  17824 327028    0    0     0     0  442  552  3  0 97  0
 0  0      0 178964  17824 327028    0    0     0     0  443  564  0  3 97  0
 0  0      0 178964  17832 327028    0    0     0    28  455  571  2  2 95  1
 1  0      0 178964  17832 327028    0    0     0     0  445  563  3  1 96  0
 0  0      0 178964  17832 327028    0    0     0     0  448  566  2  1 97  0
 0  0      0 178964  17832 327028    0    0     0     0  454  579  1  1 98  0
 0  0      0 178964  17832 327028    0    0     0     0  342  435  2  1 97  0
 0  0      0 178964  17832 327028    0    0     0     0  457  562  2  1 97  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 178964  17840 327028    0    0     0    16  439  565  2  1 96  1
 0  0      0 178964  17840 327028    0    0     0     0  449  579  1  1 98  0
 0  0      0 178964  17840 327028    0    0     0     0  441  564  1  2 97  0
 0  0      0 178964  17840 327028    0    0     0     0  447  581  2  0 98  0
 0  0      0 178964  17840 327028    0    0     0     0  449  554  3  1 95  0
 0  0      0 178964  17840 327032    0    0     0     0  448  588  2  1 97  0
 0  0      0 178840  17848 327032    0    0     0    16  439  547  2  1 97  0
 0  0      0 178840  17848 327032    0    0     0     0  456  579  1  1 98  0
 0  0      0 178840  17848 327032    0    0     0     0  445  573  2  2 96  0
 0  0      0 178840  17848 327032    0    0     0     0  448  556  2  1 97  0
 0  0      0 178840  17848 327032    0    0     0     0  450  585  3  1 96  0
 0  0      0 178840  17848 327032    0    0     0     0  449  545  3  1 96  0
 0  0      0 178840  17856 327032    0    0     0    12  451  582  1  1 97  1
 1  0      0 178840  17856 327032    0    0     0     0  451  571  1  1 98  0
 0  0      0 178840  17856 327032    0    0     0     0  446  574  2  0 98  0
 0  0      0 178840  17856 327032    0    0     0     0  432  544  2  2 96  0
 0  0      0 178840  17856 327032    0    0     0     0  445  552  3  1 96  0
 0  0      0 178840  17856 327032    0    0     0     0  442  569  2  0 97  0
 0  0      0 178840  17864 327032    0    0     0    12  433  567  1  2 96  1
 0  0      0 178840  17864 327032    0    0     0     0  446  554  1  1 98  0
 0  0      0 178840  17864 327032    0    0     0     0  449  589  3  1 96  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 178840  17864 327032    0    0     0     0  441  562  1  0 99  0
 0  0      0 178840  17864 327032    0    0     0     0  440  566  1  1 98  0
 0  0      0 178840  17864 327032    0    0     0     4  434  564  2  1 97  0
 0  0      0 178840  17872 327032    0    0     0    24  451  557  2  1 97  0
 0  0      0 178840  17872 327032    0    0     0     0  416  541  3  1 96  0
 0  0      0 178840  17872 327032    0    0     0     0  445  574  2  1 97  0
 0  0      0 178840  17872 327032    0    0     0     0  453  548  1  1 98  0
 0  0      0 178840  17872 327032    0    0     0     8  457  575  2  2 96  0
 0  0      0 178840  17872 327032    0    0     0     0  446  560  2  1 97  0
 0  0      0 178840  17880 327032    0    0     0    16  455  586  3  1 95  1
 0  0      0 178840  17880 327032    0    0     0     0  420  531  1  2 97  0
 0  0      0 178840  17880 327032    0    0     0     0  372  450  3  2 95  0
 0  0      0 178840  17880 327032    0    0     0     0  378  495  1  1 98  0
 0  0      0 178840  17880 327032    0    0     0     0  451  556  3  2 95  0
 0  0      0 178840  17880 327032    0    0     0     0  428  546  3  1 95  0
 0  0      0 178840  17888 327032    0    0     0    16  394  514  3  0 96  1
 0  0      0 178840  17888 327032    0    0     0     0  399  524  3  2 95  0
 0  0      0 178840  17888 327032    0    0     0     0  378  482  3  1 96  0
 0  0      0 178840  17888 327032    0    0     0     0  388  504  2  0 98  0
 0  0      0 178840  17888 327032    0    0     0     0  421  527  2  1 97  0
 0  0      0 178840  17888 327032    0    0     0     0  389  496  1  1 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 178840  17896 327032    0    0     0    16  393  515  2  2 96  0
 0  0      0 178840  17896 327032    0    0     0     0  389  504  2  0 98  0
 0  0      0 178840  17896 327032    0    0     0     0  389  485  5  1 94  0
 0  0      0 178840  17896 327032    0    0     0     0  384  523  5  1 94  0
 0  0      0 178840  17896 327032    0    0     0     0  385  504  0  2 98  0
 0  0      0 178840  17896 327032    0    0     0     0  398  497  2  2 95  0
 0  0      0 178840  17904 327032    0    0     0    16  390  499  2  2 95  1
 0  0      0 178840  17904 327032    0    0     0     0  396  512  4  1 95  0
 1  0      0 178840  17904 327032    0    0     0     0  393  517  2  2 96  0
 0  0      0 178840  17904 327032    0    0     0     0  394  501  2  1 97  0
 0  0      0 178840  17904 327032    0    0     0     0  379  485  1  0 99  0
 0  0      0 178840  17904 327032    0    0     0     0  391  522  2  2 96  0
 0  0      0 178840  17912 327036    0    0     0    16  406  511  2  1 96  1
 0  0      0 178840  17912 327036    0    0     0     0  369  456  2  1 97  0
 0  0      0 178840  17912 327036    0    0     0     0  384  520  3  2 95  0
 0  0      0 178840  17912 327036    0    0     0     0  409  533  2  2 96  0
 0  0      0 178840  17912 327036    0    0     0     4  452  552  1  2 97  0
 0  0      0 178840  17912 327036    0    0     0     0  457  576  1  2 97  0
 0  0      0 178840  17920 327036    0    0     0    24  443  565  2  1 96  1
 0  0      0 178840  17920 327036    0    0     0     0  443  573  2  0 98  0
 0  0      0 178840  17920 327036    0    0     0     0  448  546  1  1 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 178840  17920 327036    0    0     0     8  452  581  3  1 96  0
 0  0      0 178840  17920 327036    0    0     0     0  441  560  1  1 98  0
 0  0      0 178840  17920 327036    0    0     0     0  444  585  3  1 96  0
 0  0      0 178840  17928 327036    0    0     0    16  447  547  2  1 97  0
 0  0      0 178840  17928 327036    0    0     0     0  445  579  1  0 98  0
 0  0      0 178840  17928 327036    0    0     0     0  449  547  3  1 96  0
 0  0      0 178840  17928 327036    0    0     0     0  455  585  3  0 97  0
 0  0      0 178840  17928 327036    0    0     0     0  444  544  2  1 97  0
 0  0      0 178840  17928 327036    0    0     0     0  457  566  1  1 98  0
 0  0      0 178840  17936 327036    0    0     0    16  446  574  3  1 95  1
 0  0      0 178840  17936 327036    0    0     0     0  450  576  3  1 96  0
 1  0      0 178840  17936 327036    0    0     0     0  436  555  2  0 98  0
 0  0      0 178840  17936 327036    0    0     0     0  427  552  2  1 97  0
 0  0      0 178840  17936 327036    0    0     0     0  453  569  2  1 97  0
 0  0      0 178840  17936 327036    0    0     0     0  448  549  2  2 96  0
 0  0      0 178840  17944 327036    0    0     0    16  445  565  2  2 96  0
 0  0      0 178840  17944 327036    0    0     0     0  446  570  0  1 98  0
 0  0      0 178840  17944 327036    0    0     0     0  436  566  2  2 96  0
 0  0      0 178840  17944 327036    0    0     0     0  458  570  5  2 93  0
