procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 146252  29428 349520    0    0     1     6    5    6  0  0 100  0
 0  0      0 146252  29428 349524    0    0     0     0   11   19  0  0 100  0
 0  0      0 146252  29428 349524    0    0     0     0    8   10  0  0 100  0
 0  0      0 146252  29428 349524    0    0     0     0    8    8  0  0 100  0
 0  0      0 146252  29428 349524    0    0     0     0  200  253  0  0 100  0
 1  0      0 146252  29428 349524    0    0     0     0  420  546  0  1 99  0
 0  0      0 146252  29436 349524    0    0     0    28  464  583  0  1 97  1
 0  0      0 146252  29436 349524    0    0     0     0  359  448  1  0 99  0
 0  0      0 146252  29436 349524    0    0     0     0  428  542  0  0 100  0
 0  0      0 146252  29436 349524    0    0     0     0  480  635  0  0 100  0
 0  0      0 146252  29436 349524    0    0     0     0  354  440  0  0 100  0
 0  0      0 146252  29436 349524    0    0     0     0  442  559  0  0 100  0
 0  0      0 146252  29444 349524    0    0     0    12  511  594  0  1 98  1
 0  0      0 146252  29444 349524    0    0     0     0  381  477  0  0 100  0
 0  0      0 146252  29444 349524    0    0     0     0  423  528  1  0 99  0
 0  0      0 146252  29444 349524    0    0     0     0  479  559  0  1 99  0
 0  0      0 146252  29444 349524    0    0     0     0  417  509  0  0 100  0
 0  0      0 146252  29444 349524    0    0     0     0  377  490  0  0 100  0
 1  0      0 146252  29452 349524    0    0     0    12  490  611  0  1 99  0
 0  0      0 146252  29452 349524    0    0     0     0  465  576  0  0 100  0
 0  0      0 146252  29452 349524    0    0     0     0  379  477  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 146252  29452 349524    0    0     0     0  420  543  0  0 99  0
 0  0      0 146252  29452 349524    0    0     0     0  477  590  0  1 99  0
 0  0      0 146252  29452 349524    0    0     0     0  378  471  1  0 99  0
 0  0      0 146252  29460 349524    0    0     0    12  447  531  0  1 98  1
 0  0      0 146252  29460 349524    0    0     0     0  457  567  0  0 100  0
 0  0      0 146252  29460 349524    0    0     0     0  345  440  0  0 100  0
 0  0      0 146252  29460 349524    0    0     0     0  469  594  0  0 100  0
 0  0      0 146252  29460 349524    0    0     0     0  494  658  0  0 100  0
 0  0      0 146252  29460 349524    0    0     0     0  358  500  0  0 100  0
 0  0      0 146252  29468 349524    0    0     0    40  466  610  0  0 97  2
 0  0      0 146252  29468 349524    0    0     0     0  516  683  0  0 100  0
 0  0      0 146252  29468 349524    0    0     0     0  389  550  0  0 100  0
 0  0      0 146252  29468 349524    0    0     0     0  439  571  0  0 100  0
 0  0      0 146252  29468 349524    0    0     0     0  486  646  0  1 99  0
 0  0      0 146252  29468 349524    0    0     0     4  397  518  0  0 100  0
 0  0      0 146252  29476 349524    0    0     0    24  448  587  0  2 97  1
 0  0      0 146252  29476 349524    0    0     0     0  492  641  0  0 100  0
 0  0      0 146252  29476 349524    0    0     0     0  383  502  0  1 99  0
 0  0      0 146252  29476 349524    0    0     0     0  485  645  0  0 100  0
 0  0      0 146252  29476 349524    0    0     0     0  458  609  0  0 100  0
 0  0      0 146252  29476 349524    0    0     0     0  411  522  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 146252  29484 349524    0    0     0    16  517  641  0  1 99  0
 0  0      0 146252  29484 349524    0    0     0     0  432  550  0  0 100  0
 0  0      0 146252  29484 349524    0    0     0     0  446  588  1  1 98  0
 0  0      0 146252  29484 349524    0    0     0     0  508  655  0  0 99  0
 0  0      0 146252  29484 349524    0    0     0     0  399  516  0  0 100  0
 0  0      0 146252  29484 349528    0    0     0     0  446  580  0  0 100  0
 0  0      0 146252  29492 349528    0    0     0    16  505  643  0  1 98  1
 0  0      0 146252  29492 349528    0    0     0     0  389  525  0  2 98  0
 0  0      0 146252  29492 349528    0    0     0     0    8   10  0  0 100  0
 0  0      0 146252  29492 349528    0    0     0     0    9   10  0  0 100  0
 0  0      0 146252  29492 349528    0    0     0     0    8   10  0  0 100  0
 0  0      0 146252  29492 349528    0    0     0     0   11   11  0  0 100  0
 0  0      0 146252  29500 349528    0    0     0    12   10   17  0  0 96  4
