procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0      0 148688  28524 348404    0    0     1     6    5    6  0  0 100  0
 0  0      0 148672  28524 348408    0    0     0     0   10   15  0  0 100  0
 0  0      0 148672  28524 348408    0    0     0     0    9   10  0  0 100  0
 0  0      0 148672  28524 348408    0    0     0     0    8   10  0  0 100  0
 0  0      0 148672  28524 348408    0    0     0     0    9   13  0  0 100  0
 1  0      0 147496  28524 348408    0    0     0     0 4242 3356  2 11 87  0
 0  0      0 147708  28532 348408    0    0     0    12 5440 4576  2 18 79  0
 0  0      0 147892  28532 348408    0    0     0     0  947  815  1  2 97  0
 0  0      0 147972  28532 348408    0    0     0     0  170  131  0  0 100  0
 0  0      0 147972  28532 348408    0    0     0     0    9   10  0  1 99  0
 0  0      0 147972  28532 348408    0    0     0     0   10   12  0  0 100  0
 0  0      0 147972  28532 348408    0    0     0     0    8    9  0  0 100  0
 0  0      0 147972  28540 348400    0    0     0    12   10   14  0  0 99  1
 0  0      0 147972  28540 348408    0    0     0     0    9   10  0  0 100  0
 0  0      0 147972  28540 348408    0    0     0     0   10   12  0  0 100  0
 0  0      0 147972  28540 348408    0    0     0     0    8   12  0  0 100  0
